time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446600000	17.6816	5.70069	4.65783	0.824709	0.317256	lidar	1.15775	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8343	5.8759	4.54745	0.845468	0.327711	radar	0.395905	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0012	6.08697	4.66133	0.874587	0.349281	lidar	1.25108	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1553	6.2919	4.8167	0.899365	0.358897	radar	1.0063	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2706	6.56285	4.95312	0.967234	0.436376	lidar	0.993721	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.404	6.77618	4.90623	0.996377	0.450265	radar	0.266841	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5552	6.88901	4.69813	0.968494	0.371496	lidar	1.27389	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7052	7.1014	4.97271	0.981829	0.358083	radar	0.599665	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9143	7.22818	4.86494	0.935822	0.261254	lidar	3.35482	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0108	7.40223	4.4087	0.965164	0.294142	radar	3.15904	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0828	7.7127	4.65157	1.05545	0.411362	lidar	2.34226	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2079	7.91326	4.79421	1.06509	0.389441	radar	0.314746	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.281	8.14398	4.80278	1.109	0.425179	lidar	1.24596	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3785	8.3568	4.93613	1.12655	0.412113	radar	1.97731	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4806	8.48074	4.6629	1.10844	0.349083	lidar	2.89785	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5791	8.67308	4.52212	1.12338	0.348033	radar	0.348682	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.743	8.84852	4.50674	1.10037	0.289364	lidar	3.85178	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8256	9.05305	4.33583	1.12817	0.315287	radar	0.766139	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9457	9.30924	4.52137	1.15349	0.334911	lidar	3.67625	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0026	9.50747	4.21768	1.18983	0.37391	radar	1.54616	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0734	9.77749	4.41623	1.23791	0.422222	lidar	1.49277	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1297	10.045	4.78755	1.27773	0.442301	radar	7.5888	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1664	10.3558	5.00636	1.34107	0.507321	lidar	0.975445	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1795	10.5944	4.75194	1.3956	0.565056	radar	2.30836	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2292	10.8838	4.92874	1.43407	0.584008	lidar	2.00617	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2444	11.1721	5.21667	1.47396	0.590972	radar	4.64683	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2883	11.3899	5.08003	1.48237	0.558286	lidar	0.218656	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.235	11.6339	4.65882	1.56411	0.66834	radar	8.05773	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3151	11.8431	4.55974	1.55435	0.606794	lidar	5.42156	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3299	12.0994	5.14542	1.55549	0.524357	radar	4.36601	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3081	12.4139	5.34527	1.60122	0.556749	lidar	0.514516	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2546	12.6513	4.93643	1.66577	0.643811	radar	2.46515	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.2971	12.8534	4.7492	1.6602	0.587596	lidar	2.42306	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.296	13.0697	4.71972	1.67266	0.55583	radar	2.19084	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2689	13.2602	4.57042	1.69505	0.543853	lidar	0.789711	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2308	13.4968	4.75605	1.7169	0.521212	radar	1.36406	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2027	13.7739	4.89554	1.74167	0.523752	lidar	1.53365	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1536	13.9899	4.71219	1.77557	0.545755	radar	0.756007	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0882	14.2627	4.87364	1.8117	0.562798	lidar	0.419353	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0148	14.4938	4.90343	1.84227	0.560999	radar	1.30718	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8913	14.7728	5.11974	1.89585	0.601109	lidar	0.803697	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8256	14.9888	5.123	1.90397	0.544412	radar	3.37813	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.824	15.1714	4.8002	1.89442	0.488976	lidar	2.44239	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.723	15.3385	4.10956	1.97299	0.641279	radar	6.30376	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7146	15.4887	3.86861	1.97353	0.59431	lidar	2.50373	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.65	15.6594	3.93546	1.98639	0.550325	radar	1.25867	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5101	15.9196	4.30599	2.0343	0.586308	lidar	0.8353	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4176	16.1206	4.47642	2.03902	0.515894	radar	1.7573	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2987	16.3139	4.48646	2.07178	0.5254	lidar	0.290107	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1908	16.4984	4.41449	2.10284	0.539734	radar	0.205881	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0252	16.7569	4.75029	2.14235	0.562299	lidar	0.625707	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8589	16.9549	4.64554	2.22372	0.708116	radar	6.29782	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6356	17.2448	5.17228	2.2725	0.732765	lidar	1.61018	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5509	17.4416	5.02736	2.22256	0.508683	radar	6.28719	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3144	17.6623	5.29363	2.27113	0.536702	lidar	3.18652	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.1628	17.8694	5.32175	2.26719	0.450006	radar	1.65614	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0699	18.0207	4.96338	2.27517	0.430723	lidar	1.33322	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9054	18.1582	4.74139	2.32921	0.517271	radar	2.61914	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8182	18.2591	4.33021	2.34611	0.501831	lidar	0.799328	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.7109	18.414	4.21103	2.35127	0.464523	radar	6.20829	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4703	18.6439	4.69922	2.38144	0.476436	lidar	1.05276	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.3025	18.7706	4.58434	2.42465	0.526338	radar	1.85813	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.152	18.8987	4.4593	2.44949	0.524036	lidar	0.0699208	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9872	19.0668	4.50545	2.46002	0.493681	radar	3.0138	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7508	19.2011	4.66685	2.5027	0.516263	lidar	2.89573	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5476	19.365	4.80304	2.52937	0.529759	radar	3.28731	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2833	19.5594	5.15685	2.55241	0.523031	lidar	0.55305	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0623	19.638	5.04727	2.61207	0.590229	radar	10.1826	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8551	19.7806	5.05085	2.63296	0.57995	lidar	0.679543	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6841	19.8941	4.71479	2.63025	0.486469	radar	3.27128	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4277	20.0684	5.0132	2.64141	0.466339	lidar	0.891909	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.1887	20.2294	5.15827	2.64888	0.437862	radar	5.21704	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
